data_origin,sample_id,truth_id,true_state,voxelized_volume_um3,analytic_ellipsoid_volume_um3,center_z_um,center_y_um,center_x_um
synthetic_phantom,SYN_Dead_control_R1,1,compromised_like,11508.0,11504.755960552551,47.56309287624134,37,25
synthetic_phantom,SYN_Dead_control_R1,2,compromised_like,8265.0,8302.452472992436,47.70796429205717,37,72
synthetic_phantom,SYN_Dead_control_R1,3,compromised_like,14184.0,14203.898741546162,46.66763233790578,37,119
synthetic_phantom,SYN_Dead_control_R1,4,compromised_like,11367.0,11389.047081693716,44.21148936130658,91,25
synthetic_phantom,SYN_Dead_control_R1,5,compromised_like,7692.0,7623.273536447567,43.707113168412846,91,72
synthetic_phantom,SYN_Dead_control_R1,6,compromised_like,8487.0,8527.852456200135,48.9064228054,91,119
synthetic_phantom,SYN_Vehicle_R2,1,viable_like,14508.0,14510.873753043366,45.65160004237469,37,25
synthetic_phantom,SYN_Vehicle_R2,2,mixed_signal,31395.0,31384.358175862275,44.59665394663387,37,72
synthetic_phantom,SYN_Vehicle_R2,3,viable_like,21738.0,21803.693398657502,46.51923653386941,37,119
synthetic_phantom,SYN_Vehicle_R2,4,mixed_signal,11595.0,11493.730495591122,45.50178642951451,91,25
synthetic_phantom,SYN_Vehicle_R2,5,viable_like,25494.0,25480.99274818179,48.806136290181996,91,72
synthetic_phantom,SYN_Vehicle_R2,6,viable_like,20091.0,20163.23166432013,48.48578555771993,91,119
synthetic_phantom,SYN_Treatment_A_R2,1,mixed_signal,16017.0,15907.36256749934,48.17374867411284,37,25
synthetic_phantom,SYN_Treatment_A_R2,2,mixed_signal,15165.0,15115.786120083534,45.48764262089995,37,72
synthetic_phantom,SYN_Treatment_A_R2,3,mixed_signal,14142.0,14171.884812582624,43.84556733548959,37,119
synthetic_phantom,SYN_Treatment_A_R2,4,mixed_signal,16584.0,16535.926917787143,46.287654164050196,91,25
synthetic_phantom,SYN_Treatment_A_R2,5,viable_like,12360.0,12268.219081798452,46.567219991183016,91,72
synthetic_phantom,SYN_Treatment_A_R2,6,compromised_like,9042.0,9024.839585469857,46.956685681788905,91,119
synthetic_phantom,SYN_Treatment_B_R2,1,compromised_like,9273.0,9233.446025652966,48.47702801879968,37,25
synthetic_phantom,SYN_Treatment_B_R2,2,compromised_like,6147.0,6203.162601391022,47.953103012596,37,72
synthetic_phantom,SYN_Treatment_B_R2,3,compromised_like,5247.0,5259.918549104376,48.487552607011025,37,119
synthetic_phantom,SYN_Treatment_B_R2,4,compromised_like,10644.0,10627.289697213346,48.912049280514644,91,25
synthetic_phantom,SYN_Treatment_B_R2,5,compromised_like,6273.0,6248.7604126095475,45.46771153869007,91,72
synthetic_phantom,SYN_Treatment_B_R2,6,mixed_signal,9855.0,9867.169543883107,43.16307249152217,91,119
synthetic_phantom,SYN_Live_control_R2,1,viable_like,33870.0,33805.63558002291,43.21842623196157,37,25
synthetic_phantom,SYN_Live_control_R2,2,viable_like,25965.0,26015.501207567067,45.79415977791916,37,72
synthetic_phantom,SYN_Live_control_R2,3,viable_like,23184.0,23274.54501351313,43.569718296910175,37,119
synthetic_phantom,SYN_Live_control_R2,4,viable_like,23331.0,23298.762542020864,48.75200052273169,91,25
synthetic_phantom,SYN_Live_control_R2,5,viable_like,19950.0,19976.932259921115,44.0737860112943,91,72
synthetic_phantom,SYN_Live_control_R2,6,viable_like,19650.0,19673.53941639394,43.04639483636431,91,119
synthetic_phantom,SYN_Dead_control_R2,1,compromised_like,17757.0,17835.104285504745,46.045324295602576,37,25
synthetic_phantom,SYN_Dead_control_R2,2,compromised_like,27345.0,27300.09368773528,44.29167354031807,37,72
synthetic_phantom,SYN_Dead_control_R2,3,compromised_like,12705.0,12656.672021075297,44.51247781366431,37,119
synthetic_phantom,SYN_Dead_control_R2,4,compromised_like,10461.0,10434.327477778541,48.02457465879014,91,25
synthetic_phantom,SYN_Dead_control_R2,5,compromised_like,22431.0,22335.268885510344,45.17756964486267,91,72
synthetic_phantom,SYN_Dead_control_R2,6,compromised_like,15966.0,16012.83451771665,48.596829551344705,91,119
synthetic_phantom,SYN_Vehicle_R3,1,mixed_signal,14982.0,14899.875666925893,48.758502469253564,37,25
synthetic_phantom,SYN_Vehicle_R3,2,viable_like,23790.0,23870.000174602934,48.29666637892624,37,72
synthetic_phantom,SYN_Vehicle_R3,3,viable_like,12714.0,12690.189407540667,45.94678280460328,37,119
synthetic_phantom,SYN_Vehicle_R3,4,viable_like,20634.0,20657.980057308796,47.21671920018058,91,25
synthetic_phantom,SYN_Vehicle_R3,5,viable_like,15450.0,15403.717382203913,46.80059335699666,91,72
synthetic_phantom,SYN_Vehicle_R3,6,viable_like,12927.0,12887.817415957847,47.46678183932868,91,119
synthetic_phantom,SYN_Treatment_A_R3,1,mixed_signal,16920.0,16953.612006319836,46.69967631411697,37,25
synthetic_phantom,SYN_Treatment_A_R3,2,compromised_like,7800.0,7807.93382279944,45.73836223180449,37,72
synthetic_phantom,SYN_Treatment_A_R3,3,mixed_signal,10272.0,10246.696538320533,48.800232008258625,37,119
synthetic_phantom,SYN_Treatment_A_R3,4,compromised_like,10539.0,10599.742207207431,47.06873217310753,91,25
synthetic_phantom,SYN_Treatment_A_R3,5,compromised_like,8814.0,8782.315967402958,46.2600361984536,91,72
synthetic_phantom,SYN_Treatment_A_R3,6,compromised_like,9036.0,9077.616223291921,45.61703107964705,91,119
synthetic_phantom,SYN_Treatment_B_R3,1,compromised_like,7656.0,7655.444161214146,45.55935563031835,37,25
synthetic_phantom,SYN_Treatment_B_R3,2,compromised_like,9291.0,9231.62030508438,45.09107428238884,37,72
synthetic_phantom,SYN_Treatment_B_R3,3,viable_like,4995.0,4908.676085884598,45.06624438003589,37,119
synthetic_phantom,SYN_Treatment_B_R3,4,compromised_like,4134.0,4166.102010804122,43.177079678301915,91,25
synthetic_phantom,SYN_Treatment_B_R3,5,compromised_like,9516.0,9495.171181102056,45.7721163987366,91,72
synthetic_phantom,SYN_Treatment_B_R3,6,compromised_like,9300.0,9262.051109804162,43.6939326891472,91,119
synthetic_phantom,SYN_Live_control_R3,1,viable_like,26697.0,26825.253238985562,48.95064878184201,37,25
synthetic_phantom,SYN_Live_control_R3,2,viable_like,16488.0,16427.493328055247,43.62301277794549,37,72
synthetic_phantom,SYN_Live_control_R3,3,viable_like,11010.0,11068.511207658425,48.463306303554745,37,119
synthetic_phantom,SYN_Live_control_R3,4,viable_like,16353.0,16328.027754684685,48.82703111881175,91,25
synthetic_phantom,SYN_Live_control_R3,5,viable_like,7767.0,7805.071290600361,45.335900785707295,91,72
synthetic_phantom,SYN_Live_control_R3,6,viable_like,24930.0,24864.810577066786,47.03291336497011,91,119
synthetic_phantom,SYN_Dead_control_R3,1,compromised_like,13827.0,13913.472940659167,47.5151074047389,37,25
synthetic_phantom,SYN_Dead_control_R3,2,compromised_like,18321.0,18276.089062666633,45.195158437290125,37,72
synthetic_phantom,SYN_Dead_control_R3,3,compromised_like,19476.0,19488.366306617016,46.72303158972291,37,119
synthetic_phantom,SYN_Dead_control_R3,4,compromised_like,9132.0,9057.099907995529,46.720437806000604,91,25
synthetic_phantom,SYN_Dead_control_R3,5,compromised_like,11136.0,11028.315012372135,46.55219362465733,91,72
synthetic_phantom,SYN_Dead_control_R3,6,compromised_like,12120.0,12079.092629424866,43.78003231450993,91,119
